Handle,Title,Body (HTML),Variant SKU,Variant Price,Image Src,Cost per item,Variant Image,Variant Fulfillment Service,Variant Inventory Policy,Variant Inventory Tracker,Google Shopping / Gender,Type,Vendor,Tags,Status,Published,product.metafields.custom.original_prodect_url
"bold_black_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/m/o/movado-bold-black-dial-men_s-watch-3600489_3.jpg?width=546&height=546","","","","","","","","","","","",""
"ocean_triple_retrograde_chronograph_automatic_silver_dial_men's_watch","Harry Winston, Ocean Triple Retrograde Chronograph Automatic Silver Dial Men's Watch","Black zalium case with a black rubber strap. Fixed black zalium bezel. Silver dial with luminous silver-tone hands and index hour markers. Dial Type: Analog. Luminescent hands. Chronograph - three displays showing:  60 second, 30 minute and 12 hour. Automatic movement. Scratch resistant sapphire crystal. Transparent case back. Round case shape. Case size: 44 mm. Case thickness: 12.50 mm. Deployment tang clasp. Water resistant at 100 meters / 330 feet. Functions: chronograph, hour, minute, small second. Ocean Triple Retrograde Series. Luxury watch style. Watch label: Swiss Made. Harry Winston Ocean Triple Retrograde Chronograph Automatic Silver Dial Men's Watch OCEACT44ZZ006.","OCEACT44ZZ006","74027","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-silver-dial-men_s-watch-oceact44zz006.jpg?width=546&height=546","56944.13","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-silver-dial-men_s-watch-oceact44zz006.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens, Watches, Harry Winston, Ocean Triple Retrograde","Active","TRUE","https://www.jomashop.com/harry-winston-watch-oceact44zz006.html"
"ocean_triple_retrograde_chronograph_automatic_silver_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-silver-dial-men_s-watch-oceact44zz006_2.jpg?width=546&height=546","","","","","","","","","","","",""
"ocean_triple_retrograde_chronograph_automatic_silver_dial_men's_watch","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-silver-dial-men_s-watch-oceact44zz006_3.jpg?width=546&height=546","","","","","","","","","","","",""
"ocean_triple_retrograde_chronograph_automatic_men's_watch_oceact44zz002","Harry Winston, Ocean Triple Retrograde Chronograph Automatic Men's Watch OCEACT44ZZ002","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-men_s-watch-oceact44zz002.jpg?width=546&height=546","0.00","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-men_s-watch-oceact44zz002.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens","Active","TRUE","https://www.jomashop.com/harry-winston-watch-oceact44zz002.html"
"ocean_triple_retrograde_chronograph_automatic_men's_watch_oceact44zz002","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-men_s-watch-oceact44zz002_2.jpg?width=546&height=546","","","","","","","","","","","",""
"ocean_triple_retrograde_chronograph_automatic_men's_watch_oceact44zz002","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/h/a/harry-winston-ocean-triple-retrograde-chronograph-automatic-men_s-watch-oceact44zz002_3.jpg?width=546&height=546","","","","","","","","","","","",""
"de_ville_prestige_automatic_chronometer_brown_dial_two-tone_men's_watch_424.20.40.20.13.001","Omega, De Ville Prestige Automatic Chronometer Brown Dial Two-Tone Men's Watch 424.20.40.20.13.001","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-prestige-automatic-chronometer-brown-dial-men_s-watch-424.20.40.20.13.001.jpg?width=546&height=546","0.00","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-prestige-automatic-chronometer-brown-dial-men_s-watch-424.20.40.20.13.001.jpg?width=546&height=546","manual","deny","shopify","male","USA Products","Joma Shop","Mens","Active","TRUE","https://www.jomashop.com/omega-watch-424-20-40-20-13-001.html"
"de_ville_prestige_automatic_chronometer_brown_dial_two-tone_men's_watch_424.20.40.20.13.001","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-prestige-automatic-chronometer-brown-dial-men_s-watch-424.20.40.20.13.001_2.jpg?width=546&height=546","","","","","","","","","","","",""
"de_ville_prestige_automatic_chronometer_brown_dial_two-tone_men's_watch_424.20.40.20.13.001","","","","","https://cdn2.jomashop.com/media/catalog/product/cache/fc2ff48f80400416c47c36b80c0a3202/o/m/omega-de-ville-prestige-automatic-chronometer-brown-dial-men_s-watch-424.20.40.20.13.001_3.jpg?width=546&height=546","","","","","","","","","","","",""
